# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Sunshot.Fl_I.Tt               -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
Sunshot.Fl_I.Pt               29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
Sunshot.Fl_I.ht          -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
Sunshot.Fl_I.s             -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03149    -1420.25333 
Sunshot.Fl_I.W            4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Sunshot.Fl_I.Cpt            2382.50165     2527.08143     2709.16220     2946.78931     3274.01103     3751.88775     4510.70106     5905.84919     9136.69199 
Sunshot.Fl_I.gamt              2.54449        2.67592        2.83697        3.04853        3.34233        3.76962        4.43275        5.59825        8.13921 
Sunshot.Fl_I.rhot            962.60797      930.25660      898.37032      866.31734      833.32517      798.60817      760.88322      718.22822      666.98894 
Sunshot.Fl_O.Tt          -2.38105E-002        7.31165       14.31708       21.14634       27.94603       34.84708       42.03551       49.75426       58.43572 
Sunshot.Fl_O.Pt               84.94497       99.10279      113.26061      127.41843      141.57625      155.73407      169.89189      184.04971      198.20558 
Sunshot.Fl_O.ht          -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
Sunshot.Fl_O.s             -1742.50687    -1690.99875    -1643.26207    -1598.13046    -1554.51799    -1511.54316    -1468.02535    -1422.47768    -1372.17378 
Sunshot.Fl_O.W            4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Sunshot.Fl_O.Cpt            2235.07070     2293.82909     2348.25636     2397.87233     2442.16102     2476.28194     2496.40599     2504.05016     2500.52597 
Sunshot.Fl_O.gamt              2.40668        2.47424        2.53552        2.58850        2.63362        2.66999        2.69538        2.70863        2.70980 
Sunshot.Fl_O.rhot            965.19448      935.02796      906.17937      878.22868      850.69464      823.14401      794.82847      764.70515      730.70209 
TsPump.Fl_I.Tt                -6.10557  -3.94463E-001        4.74442        9.42219       13.72773       17.71105       21.42214       24.88878       28.12762 
TsPump.Fl_I.Pt                29.99977       34.99985       39.99993       45.00001       50.00008       55.00016       60.00024       65.00032       69.99970 
TsPump.Fl_I.ht           -3.12158E+005  -2.98596E+005  -2.85813E+005  -2.73546E+005  -2.61533E+005  -2.49552E+005  -2.37286E+005  -2.24320E+005  -2.09878E+005 
TsPump.Fl_I.s              -1761.15592    -1712.86958    -1668.42894    -1626.68096    -1586.55974    -1547.21118    -1507.50270    -1466.03148    -1420.25333 
TsPump.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
TsPump.Fl_I.Cpt             2382.50165     2527.08143     2709.16220     2946.78931     3274.01104     3751.88776     4510.70111     5905.84973     9136.69166 
TsPump.Fl_I.gamt               2.54449        2.67592        2.83697        3.04853        3.34233        3.76962        4.43275        5.59825        8.13921 
TsPump.Fl_I.rhot             962.60797      930.25660      898.37032      866.31734      833.32517      798.60817      760.88322      718.22821      666.98894 
